Generation,Treatment,Site,Year,Timeline,Flowering_date,Average_germ_Date,FT,Sow date:,FD,days_to_germ
S0,Dry,S02,2010,1,2021-01-09,23-Oct,78,11-Oct,90,12
S0,Dry,S02,2010,3,2021-01-03,20-Oct,75,11-Oct,84,9
S0,Dry,S02,2010,4,2021-01-04,24-Oct,71.5,11-Oct,85,13.5
S0,Dry,S02,2010,6,2020-12-29,19-Oct,70.5,11-Oct,79,8.5
S0,Dry,S02,2010,7,2021-01-03,19-Oct,75.5,11-Oct,84,8.5
S0,Dry,S02,2014,28,2021-01-02,21-Oct,73,11-Oct,83,10
S0,Dry,S02,2014,29,2021-01-03,19-Oct,75.5,11-Oct,84,8.5
S0,Dry,S02,2014,32,2021-01-03,18-Oct,76.5,11-Oct,84,7.5
S0,Dry,S02,2014,35,2020-12-30,19-Oct,72,11-Oct,80,8
S0,Dry,S02,2014,37,2021-01-09,19-Oct,81.5,11-Oct,90,8.5
S0,Dry,S07,2010,38,2020-12-30,18-Oct,72.5,11-Oct,80,7.5
S0,Dry,S07,2010,39A,2020-12-26,20-Oct,67,11-Oct,76,9
S0,Dry,S07,2010,39B,2020-12-26,19-Oct,67.5,11-Oct,76,8.5
S0,Dry,S07,2010,40,2021-01-02,18-Oct,76,11-Oct,83,7
S0,Dry,S07,2010,41,2020-12-27,19-Oct,68.5,11-Oct,77,8.5
S0,Dry,S07,2014,49,2020-12-29,18-Oct,72,11-Oct,79,7
S0,Dry,S07,2014,51,2020-12-24,18-Oct,67,11-Oct,74,7
S0,Dry,S07,2014,52,2020-12-27,18-Oct,70,11-Oct,77,7
S0,Dry,S07,2014,54,2020-12-28,18-Oct,70.5,11-Oct,78,7.5
S0,Dry,S07,2014,57,2020-12-27,18-Oct,69.5,11-Oct,77,7.5
S0,Dry,S15,2010,148,2020-12-24,24-Oct,60.5,11-Oct,74,13.5
S0,Dry,S15,2010,152,2020-12-27,19-Oct,69,11-Oct,77,8
S0,Dry,S15,2010,153,2020-12-23,21-Oct,63,11-Oct,73,10
S0,Dry,S15,2010,154,2020-12-20,21-Oct,60,11-Oct,70,10
S0,Dry,S15,2010,155,2020-12-27,20-Oct,67.5,11-Oct,77,9.5
S0,Dry,S15,2015,164,2020-12-26,22-Oct,64.5,11-Oct,76,11.5
S0,Dry,S15,2015,166,2020-12-20,24-Oct,57,11-Oct,70,13
S0,Dry,S15,2015,167,2020-12-27,25-Oct,62.5,11-Oct,77,14.5
S0,Dry,S15,2015,170,2020-12-20,23-Oct,58,11-Oct,70,12
S0,Dry,S15,2015,172,2020-12-25,23-Oct,62.5,11-Oct,75,12.5
S0,Dry,S36,2011,342,2021-01-09,24-Oct,77,11-Oct,90,13
S0,Dry,S36,2011,343,2020-12-21,21-Oct,61,11-Oct,71,10
S0,Dry,S36,2011,344,2020-12-22,21-Oct,61.5,11-Oct,72,10.5
S0,Dry,S36,2011,345,2021-01-09,23-Oct,78,11-Oct,90,12
S0,Dry,S36,2011,349,2020-12-23,19-Oct,65,11-Oct,73,8
S0,Dry,S36,2015,371,2020-12-26,23-Oct,64,11-Oct,76,12
S0,Dry,S36,2015,372,2020-12-28,20-Oct,69,11-Oct,78,9
S0,Dry,S36,2015,373,2020-12-26,19-Oct,67.5,11-Oct,76,8.5
S0,Dry,S36,2015,374,2020-12-26,20-Oct,67,11-Oct,76,9
S0,Dry,S36,2015,375,2020-12-20,19-Oct,61.5,11-Oct,70,8.5
S0,Wet,S02,2010,1,,23-Oct,-44127,11-Oct,-44115,12
S0,Wet,S02,2010,3,,20-Oct,-44124,11-Oct,-44115,9
S0,Wet,S02,2010,4,2021-01-17,24-Oct,84.5,11-Oct,98,13.5
S0,Wet,S02,2010,6,2021-01-13,19-Oct,85.5,11-Oct,94,8.5
S0,Wet,S02,2010,7,2021-01-11,19-Oct,83.5,11-Oct,92,8.5
S0,Wet,S02,2014,28,,21-Oct,-44125,11-Oct,-44115,10
S0,Wet,S02,2014,29,2021-01-22,19-Oct,94.5,11-Oct,103,8.5
S0,Wet,S02,2014,32,2021-01-06,18-Oct,79.5,11-Oct,87,7.5
S0,Wet,S02,2014,35,,19-Oct,-44123,11-Oct,-44115,8
S0,Wet,S02,2014,37,2021-01-22,19-Oct,94.5,11-Oct,103,8.5
S0,Wet,S07,2010,38,2020-12-29,18-Oct,71.5,11-Oct,79,7.5
S0,Wet,S07,2010,39A,2021-01-06,20-Oct,78,11-Oct,87,9
S0,Wet,S07,2010,39B,2020-12-28,19-Oct,69.5,11-Oct,78,8.5
S0,Wet,S07,2010,40,,18-Oct,-44122,11-Oct,-44115,7
S0,Wet,S07,2010,41,2020-12-30,19-Oct,71.5,11-Oct,80,8.5
S0,Wet,S07,2014,49,2021-01-08,18-Oct,82,11-Oct,89,7
S0,Wet,S07,2014,51,2020-12-24,18-Oct,67,11-Oct,74,7
S0,Wet,S07,2014,52,2020-12-29,18-Oct,72,11-Oct,79,7
S0,Wet,S07,2014,54,2021-01-14,18-Oct,87.5,11-Oct,95,7.5
S0,Wet,S07,2014,57,2020-12-21,18-Oct,63.5,11-Oct,71,7.5
S0,Wet,S15,2010,148,,24-Oct,-44128.5,11-Oct,-44115,13.5
S0,Wet,S15,2010,152,2021-01-01,19-Oct,74,11-Oct,82,8
S0,Wet,S15,2010,153,2020-12-20,21-Oct,60,11-Oct,70,10
S0,Wet,S15,2010,154,2020-12-25,21-Oct,65,11-Oct,75,10
S0,Wet,S15,2010,155,,20-Oct,-44124.5,11-Oct,-44115,9.5
S0,Wet,S15,2015,164,2020-12-28,22-Oct,66.5,11-Oct,78,11.5
S0,Wet,S15,2015,166,2020-12-31,24-Oct,68,11-Oct,81,13
S0,Wet,S15,2015,167,2021-01-13,25-Oct,79.5,11-Oct,94,14.5
S0,Wet,S15,2015,170,,23-Oct,-44127,11-Oct,-44115,12
S0,Wet,S15,2015,172,,23-Oct,-44127.5,11-Oct,-44115,12.5
S0,Wet,S36,2011,342,,24-Oct,-44128,11-Oct,-44115,13
S0,Wet,S36,2011,343,2020-12-30,21-Oct,70,11-Oct,80,10
S0,Wet,S36,2011,344,2020-12-25,21-Oct,64.5,11-Oct,75,10.5
S0,Wet,S36,2011,345,2021-01-11,23-Oct,80,11-Oct,92,12
S0,Wet,S36,2011,349,2021-01-08,19-Oct,81,11-Oct,89,8
S0,Wet,S36,2015,371,2021-01-06,23-Oct,75,11-Oct,87,12
S0,Wet,S36,2015,372,2021-01-13,20-Oct,85,11-Oct,94,9
S0,Wet,S36,2015,373,2021-01-10,19-Oct,82.5,11-Oct,91,8.5
S0,Wet,S36,2015,374,2020-12-20,20-Oct,61,11-Oct,70,9
S0,Wet,S36,2015,375,2020-12-23,19-Oct,64.5,11-Oct,73,8.5