Treatment,ID,dw,Rep
Dry,2000,0.75,1
Wet,2000,2.1,1
Dry,2003,0.37,1
Wet,2003,1.45,1
Dry,2006,1.75,1
Wet,2006,1.18,1
Dry,2009,1.11,1
Wet,2009,1.02,1
Dry,2012,0.95,1
Wet,2012,0.63,1
Dry,2015,1.15,1
Wet,2015,0.73,1
Dry,2018,0.97,1
Wet,2018,1.37,1
Dry,2021,0.66,1
Wet,2021,1.16,1
Dry,2024,0.35,1
Wet,2024,1.01,1
Dry,2027,0.74,1
Wet,2027,1.23,1
Dry,2030,0.55,1
Wet,2030,0.65,1
Dry,2033,1.93,1
Wet,2033,1.38,1
Dry,2036,1.44,1
Wet,2036,1.69,1
Dry,2039,2.5,1
Wet,2039,2.27,1
Dry,2042,1.68,1
Wet,2042,5.15,1
Dry,2045,1.79,1
Wet,2045,1.96,1
Dry,2048,1.1,1
Wet,2048,2.11,1
Dry,2051,0.5,1
Wet,2051,1.97,1
Dry,2054,1.7,1
Wet,2054,3.64,1
Dry,2057,0.64,1
Wet,2057,2.93,1
Dry,2060,0.65,1
Wet,2060,1.24,1
Dry,2063,1.56,1
Wet,2063,1.27,1
Dry,2066,1.24,1
Wet,2066,1.86,1
Dry,2069,1.19,1
Wet,2069,1.8,1
Dry,2072,,1
Wet,2072,,1
Dry,2075,1.82,1
Wet,2075,2.17,1
Dry,2078,1.53,1
Wet,2078,1.92,1
Dry,2081,1.71,1
Wet,2081,1.71,1
Dry,2084,1.28,1
Wet,2084,2.33,1
Dry,2087,0.49,1
Wet,2087,1.74,1
Dry,2090,1.35,1
Wet,2090,4.38,1
Dry,2093,1.16,1
Wet,2093,4.48,1
Dry,2096,2.69,1
Wet,2096,1.43,1
Dry,2099,1.59,1
Wet,2099,1.99,1
Dry,2102,0.48,1
Wet,2102,0.73,1
Dry,2105,1.53,1
Wet,2105,1.79,1
Dry,2108,1.74,1
Wet,2108,3.9,1
Dry,2111,2.21,1
Wet,2111,4.61,1
Dry,2114,,1
Wet,2114,,1
Dry,2117,2.5,1
Wet,2117,3.91,1
Dry,2120,2.79,1
Wet,2120,1.6,1
Dry,2123,2.46,1
Wet,2123,3.5,1
Dry,2126,2,1
Wet,2126,5.66,1
Dry,2129,2,1
Wet,2129,3.51,1
Dry,2132,3.58,1
Wet,2132,4.55,1
Dry,2135,2.45,1
Wet,2135,3.88,1
Dry,2138,2.69,1
Wet,2138,3.52,1
Dry,2141,1.64,1
Wet,2141,3.55,1
Dry,2144,1.16,1
Wet,2144,1.68,1
Dry,2147,3.65,1
Wet,2147,5.52,1
Dry,2150,1.7,1
Wet,2150,2.12,1
Dry,2153,2.98,1
Wet,2153,2.8,1
Dry,2156,1.7,1
Wet,2156,5.1,1
Dry,2159,3.03,1
Wet,2159,3.72,1
Dry,2162,0.14,1
Wet,2162,1.36,1
Dry,2165,1.56,1
Wet,2165,3.46,1
Dry,2168,1.58,1
Wet,2168,1.62,1
Dry,2171,2.71,1
Wet,2171,5.14,1
Dry,2174,2.94,1
Wet,2174,1.84,1
Dry,2177,2.61,1
Wet,2177,3.65,1
Dry,2180,2.24,1
Wet,2180,6.36,1
Dry,2183,1.92,1
Wet,2183,3.75,1
Dry,2186,0.99,1
Wet,2186,1.29,1
Dry,2189,3.57,1
Wet,2189,4.5,1
Dry,2192,2.07,1
Wet,2192,3.94,1
Dry,2195,,1
Wet,2195,,1
Dry,2198,2.61,1
Wet,2198,4.4,1
Dry,2201,1.41,1
Wet,2201,3.66,1
Dry,2204,2.89,1
Wet,2204,8.55,1
Dry,2207,1.87,1
Wet,2207,4.15,1
Dry,2210,2.6,1
Wet,2210,3.25,1
Dry,2213,,1
Wet,2213,,1
Dry,2216,2.16,1
Wet,2216,3.41,1
Dry,2219,1.73,1
Wet,2219,4.09,1
Dry,2222,2.07,1
Wet,2222,3.98,1
Dry,2225,2.98,1
Wet,2225,5.12,1
Dry,2228,3.42,1
Wet,2228,4.13,1
Dry,2231,2.15,1
Wet,2231,3.33,1
Dry,2234,3.32,1
Wet,2234,4.04,1
Dry,2237,3.05,1
Wet,2237,4.21,1
Dry,2240,,1
Wet,2240,,1
Dry,2243,3.35,1
Wet,2243,5.13,1
Dry,2246,2.6,1
Wet,2246,6.84,1
Dry,2249,2.72,1
Wet,2249,2.71,1
Dry,2252,4.35,1
Wet,2252,4.19,1
Dry,2255,2.36,1
Wet,2255,5.03,1
Dry,2258,2.84,1
Wet,2258,5.68,1
Dry,2261,3.6,1
Wet,2261,2.58,1
Dry,2264,,1
Wet,2264,,1
Dry,2267,2.17,1
Wet,2267,4.6,1
Dry,2270,2.34,1
Wet,2270,2.23,1
Dry,2273,,1
Wet,2273,,1
Dry,2276,1.97,1
Wet,2276,1.67,1
Dry,2279,2.56,1
Wet,2279,,1
Dry,2282,3.15,1
Wet,2282,3.27,1
Dry,2285,2.67,1
Wet,2285,2.46,1
Dry,2288,1.97,1
Wet,2288,3.1,1
Dry,2291,3.93,1
Wet,2291,4.8,1
Dry,2294,2.31,1
Wet,2294,6.17,1
Dry,2297,4.52,1
Wet,2297,3.9,1
Dry,2300,3.74,1
Wet,2300,4.24,1
Dry,2303,3.88,1
Wet,2303,6.84,1
Dry,2306,3.42,1
Wet,2306,7.79,1
Dry,2309,3.8,1
Wet,2309,4.91,1
Dry,2312,4.27,1
Wet,2312,4.58,1
Dry,2315,4.69,1
Wet,2315,4.47,1
Dry,2318,2.53,1
Wet,2318,3.75,1
Dry,2321,3.1,1
Wet,2321,4.71,1
Dry,2324,2.73,1
Wet,2324,3.48,1
Dry,2327,2.46,1
Wet,2327,5.27,1
Dry,2330,2.21,1
Wet,2330,3.8,1
Dry,2333,2.26,1
Wet,2333,5.96,1
Dry,2336,2.83,1
Wet,2336,3.72,1
Dry,2339,2.7,1
Wet,2339,3.3,1
Dry,2342,2.75,1
Wet,2342,3.26,1
Dry,2345,2.8,1
Wet,2345,5.59,1
Dry,2348,2.5,1
Wet,2348,7.19,1
Dry,2351,1.74,1
Wet,2351,3.45,1
Dry,2354,2.98,1
Wet,2354,4.02,1
Dry,2357,2.33,1
Wet,2357,5.52,1
Dry,2360,1.71,1
Wet,2360,4.21,1
Dry,2363,2.83,1
Wet,2363,4.3,1
Dry,2366,3.3,1
Wet,2366,3.39,1
Dry,2369,2.75,1
Wet,2369,4.33,1
Dry,2372,4.73,1
Wet,2372,8.36,1
Dry,2375,3.65,1
Wet,2375,5.69,1
Dry,2378,1.83,1
Wet,2378,6.91,1
Dry,2381,,1
Wet,2381,,1
Dry,2384,4.12,1
Wet,2384,5.6,1
Dry,2387,3.08,1
Wet,2387,5.91,1
Dry,2390,0.93,1
Wet,2390,5.32,1
Dry,2393,2.89,1
Wet,2393,6.32,1
Dry,2396,1.63,1
Wet,2396,3.9,1
Dry,2399,1.18,1
Wet,2399,3.15,1
Dry,2402,1.74,1
Wet,2402,4.22,1
Dry,2405,2.17,1
Wet,2405,3.63,1
Dry,2408,1.64,1
Wet,2408,3.28,1
Dry,2411,2.03,1
Wet,2411,4.55,1
Dry,2414,3.02,1
Wet,2414,3.2,1
Dry,2417,3.06,1
Wet,2417,3.7,1
Dry,2420,3.06,1
Wet,2420,3.72,1
Dry,2423,3.11,1
Wet,2423,4.21,1
Dry,2426,3.77,1
Wet,2426,3.04,1
Dry,2429,2.04,1
Wet,2429,5.99,1
Dry,2432,1.89,1
Wet,2432,4.43,1
Dry,2435,2.04,1
Wet,2435,6.1,1
Dry,2438,1.68,1
Wet,2438,3.05,1
Dry,2441,1.94,1
Wet,2441,3.8,1
Dry,2444,1.76,1
Wet,2444,3.25,1
Dry,2447,4.27,1
Wet,2447,4.36,1
Dry,2450,2.61,1
Wet,2450,3.77,1
Dry,2453,2.42,1
Wet,2453,4.17,1
Dry,2456,2.79,1
Wet,2456,2.79,1
Dry,2459,3.44,1
Wet,2459,3.06,1
Dry,2462,2.16,1
Wet,2462,3.04,1
Dry,2465,1.87,1
Wet,2465,3.3,1
Dry,2468,0.77,1
Wet,2468,1.93,1
Dry,2471,1.46,1
Wet,2471,1.57,1
Dry,2474,2.25,1
Wet,2474,1.77,1
Dry,2477,0.28,1
Wet,2477,2.67,1
Dry,2480,2,1
Wet,2480,1.66,1
Dry,2483,1.45,1
Wet,2483,2.61,1
Dry,2486,4.85,1
Wet,2486,,1
Dry,2489,2.61,1
Wet,2489,1,1
Dry,2492,1.1,1
Wet,2492,3.27,1
Dry,2495,0.55,1
Wet,2495,3.76,1
Dry,2498,1.42,1
Wet,2498,0.62,1
Dry,2501,1.36,1
Wet,2501,2.41,1
Dry,2504,2.87,1
Wet,2504,3.87,1
Dry,2507,1.61,1
Wet,2507,2.08,1
Dry,2510,0.75,1
Wet,2510,2.46,1
Dry,2513,1.87,1
Wet,2513,1.71,1
Dry,2516,1.22,1
Wet,2516,3.84,1
Dry,2519,2.02,1
Wet,2519,2.54,1
Dry,2522,1.35,1
Wet,2522,4.16,1
Dry,2525,2.69,1
Wet,2525,2.74,1
Dry,2528,0.83,1
Wet,2528,1.84,1
Dry,2531,1.61,1
Wet,2531,3.12,1
Dry,2534,1.2,1
Wet,2534,2.84,1
Dry,2537,2.58,1
Wet,2537,1.89,1
Dry,2540,0.79,1
Wet,2540,3.86,1
Dry,2543,1.5,1
Wet,2543,3.34,1
Dry,2546,1.54,1
Wet,2546,3.42,1
Dry,2549,1.9,1
Wet,2549,1.94,1
Dry,2552,1.86,1
Wet,2552,1.35,1
Dry,2555,1.27,1
Wet,2555,3.13,1
Dry,2558,2.04,1
Wet,2558,3.14,1
Dry,2561,1.31,1
Wet,2561,4.48,1
Dry,2564,3.53,1
Wet,2564,7.23,1
Dry,2567,1.91,1
Wet,2567,2.3,1
Dry,2570,1.18,1
Wet,2570,4.09,1
Dry,2573,3.26,1
Wet,2573,3.31,1
Dry,2576,2.03,1
Wet,2576,1.87,1
Dry,2579,0.98,1
Wet,2579,2.34,1
Dry,2582,1.71,1
Wet,2582,4.79,1
Dry,2585,0.97,1
Wet,2585,2.09,1
Dry,2588,0.58,1
Wet,2588,2.58,1
Dry,2591,0.89,1
Wet,2591,1.25,1
Dry,2594,1.12,1
Wet,2594,2.51,1
Dry,2597,1.71,1
Wet,2597,2.15,1
Dry,2600,0.89,1
Wet,2600,3.18,1
Dry,2603,1.97,1
Wet,2603,0.9,1
Dry,2606,1.63,1
Wet,2606,5.51,1
Dry,2609,1.76,1
Wet,2609,4.33,1
Dry,2612,0.75,1
Wet,2612,0.93,1
Dry,2615,0.81,1
Wet,2615,2.6,1
Dry,2618,1.33,1
Wet,2618,1.97,1
Dry,2621,1.1,1
Wet,2621,3.21,1
Dry,2624,0.8,1
Wet,2624,2.15,1
Dry,2627,1.19,1
Wet,2627,2.96,1
Dry,2630,0.99,1
Wet,2630,2.69,1
Dry,2633,0.66,1
Wet,2633,1.21,1
Dry,2636,3.29,1
Wet,2636,3.14,1
Dry,2639,0.28,1
Wet,2639,2.08,1
Dry,2642,1.55,1
Wet,2642,1.77,1
Dry,2645,0.99,1
Wet,2645,1.24,1
Dry,2648,2.06,1
Wet,2648,3.47,1
Dry,2651,,1
Wet,2651,,1
Dry,2654,,1
Wet,2654,,1
Dry,2657,,1
Wet,2657,,1
Dry,2660,1.39,1
Wet,2660,2.8,1
Dry,2663,2.31,1
Wet,2663,2.03,1
Dry,2666,1.07,1
Wet,2666,3.73,1
Dry,2669,1.47,1
Wet,2669,2.66,1
Dry,2672,2.15,1
Wet,2672,3.73,1
Dry,2675,1.85,1
Wet,2675,2.38,1
Dry,2678,1.56,1
Wet,2678,3.05,1
Dry,2681,,1
Wet,2681,,1
Dry,2684,,1
Wet,2684,,1
Dry,2687,,1
Wet,2687,,1
Dry,2690,0.82,1
Wet,2690,2.6,1
Dry,2693,,1
Wet,2693,,1
Dry,2696,1.01,1
Wet,2696,2.29,1
Dry,2699,0.64,1
Wet,2699,1.17,1
Dry,2702,1.01,1
Wet,2702,1.18,1
Dry,2705,0.76,1
Wet,2705,1.55,1
Dry,2708,1.76,1
Wet,2708,3.22,1
Dry,2711,,1
Wet,2711,,1
Dry,2714,2.16,1
Wet,2714,4.21,1
Dry,2717,0.74,1
Wet,2717,1.06,1
Dry,2720,0.36,1
Wet,2720,1.26,1
Dry,2723,1.2,1
Wet,2723,1.29,1
Dry,2726,1.6,1
Wet,2726,1.61,1
Dry,2729,0.49,1
Wet,2729,1.57,1
Dry,2732,2.23,1
Wet,2732,1.43,1
Dry,2735,1.35,1
Wet,2735,1.84,1
Dry,2738,2.27,1
Wet,2738,1.78,1
Dry,2741,2.06,1
Wet,2741,3.18,1
Dry,2744,1.57,1
Wet,2744,1.61,1
Dry,2747,1.34,1
Wet,2747,1.43,1
Dry,2750,0.78,1
Wet,2750,0.42,1
Dry,2753,0.49,1
Wet,2753,1.38,1
Dry,2756,0.88,1
Wet,2756,0.76,1
Dry,2759,0.51,1
Wet,2759,1.17,1
Dry,2762,1.97,1
Wet,2762,1.89,1
Dry,2765,1.4,1
Wet,2765,2.56,1
Dry,2768,2.09,1
Wet,2768,1.85,1
Dry,2771,2.1,1
Wet,2771,2.9,1
Dry,2774,2.49,1
Wet,2774,1.33,1
Dry,2777,1.4,1
Wet,2777,3.36,1
Dry,2780,2.56,1
Wet,2780,4.44,1
Dry,2783,2.82,1
Wet,2783,3.42,1
Dry,2786,1.94,1
Wet,2786,1.75,1
Dry,2789,1.91,1
Wet,2789,3.6,1
Dry,2792,0.66,1
Wet,2792,1.56,1
Dry,2795,1.39,1
Wet,2795,1.74,1
Dry,2798,1.48,1
Wet,2798,1.82,1
Dry,2801,0.85,1
Wet,2801,0.91,1
Dry,2804,1.27,1
Wet,2804,1.25,1
Dry,2807,1.12,1
Wet,2807,1.52,1
Dry,2810,1.55,1
Wet,2810,0.52,1
Dry,2813,1.17,1
Wet,2813,1.19,1
Dry,2816,0.78,1
Wet,2816,2.42,1
Dry,2819,1.05,1
Wet,2819,0.93,1
Dry,2822,0.91,1
Wet,2822,1.64,1
Dry,2825,0.73,1
Wet,2825,1.37,1
Dry,2828,,1
Wet,2828,,1
Dry,2831,0.88,1
Wet,2831,1.84,1
Dry,2834,1.19,1
Wet,2834,1.63,1
Dry,2837,0.95,1
Wet,2837,,1
Dry,2840,,1
Wet,2840,,1
Dry,2843,1.58,1
Wet,2843,0.76,1
Dry,2846,,1
Wet,2846,,1
Dry,2849,1.15,1
Wet,2849,2.61,1
Dry,2852,2.2,1
Wet,2852,2.5,1
Dry,2855,1.51,1
Wet,2855,1.18,1
Dry,2858,,1
Wet,2858,,1
Dry,2861,,1
Wet,2861,,1
Dry,2864,2.33,1
Wet,2864,4.66,1
Dry,2867,2.32,1
Wet,2867,3.93,1
Dry,2870,1.49,1
Wet,2870,3.07,1
Dry,2873,2.83,1
Wet,2873,4.14,1
Dry,2876,2.29,1
Wet,2876,4.55,1
Dry,2879,1.95,1
Wet,2879,2.4,1
Dry,2882,3.13,1
Wet,2882,5.45,1
Dry,2885,2.25,1
Wet,2885,3.71,1
Dry,2888,2.17,1
Wet,2888,4.41,1
Dry,2891,1.82,1
Wet,2891,2.41,1
Dry,2894,3,1
Wet,2894,1.11,1
Dry,2897,1.1,1
Wet,2897,,1
Dry,2900,2.21,1
Wet,2900,3.12,1
Dry,2903,1.98,1
Wet,2903,4.45,1
Dry,2906,1.62,1
Wet,2906,3.11,1
Dry,2909,1.81,1
Wet,2909,4.67,1
Dry,2912,2.54,1
Wet,2912,3.39,1
Dry,2915,2.09,1
Wet,2915,,1
Dry,2918,2.53,1
Wet,2918,3.95,1
Dry,2921,2.33,1
Wet,2921,6.02,1
Dry,2924,,1
Wet,2924,,1
Dry,2927,2.29,1
Wet,2927,2.06,1
Dry,2930,2.61,1
Wet,2930,3.15,1
Dry,2933,2.48,1
Wet,2933,2.98,1
Dry,2936,2.09,1
Wet,2936,3.33,1
Dry,2939,2.33,1
Wet,2939,3.29,1
Dry,2942,1.85,1
Wet,2942,4.69,1
Dry,2945,2.39,1
Wet,2945,4.27,1
Dry,2948,1.52,1
Wet,2948,2.92,1
Dry,2951,2.05,1
Wet,2951,4.1,1
Dry,2954,4.09,1
Wet,2954,,1
Dry,2957,1.46,1
Wet,2957,3.07,1
Dry,2960,2.21,1
Wet,2960,3.06,1
Dry,2963,2.1,1
Wet,2963,4.01,1
Dry,2966,1.98,1
Wet,2966,4.01,1
Dry,2969,1.01,1
Wet,2969,4.48,1
Dry,2972,1.18,1
Wet,2972,1.88,1
Dry,2975,1.56,1
Wet,2975,2.34,1
Dry,2978,0.96,1
Wet,2978,1.55,1
Dry,2981,0.85,1
Wet,2981,1.73,1
Dry,2984,0.33,1
Wet,2984,1.96,1
Dry,2987,1.61,1
Wet,2987,1.13,1
Dry,2990,1.62,1
Wet,2990,2.05,1
Dry,2993,1.58,1
Wet,2993,4.1,1
Dry,2996,0.4,1
Wet,2996,2.59,1
Dry,2999,1.6,1
Wet,2999,2.51,1
Dry,3002,3.59,1
Wet,3002,2.14,1
Dry,3005,1.26,1
Wet,3005,2.75,1
Dry,3008,1.17,1
Wet,3008,0.72,1
Dry,3011,0.93,1
Wet,3011,0.52,1
Dry,3014,1.33,1
Wet,3014,0.81,1
Dry,3017,0.53,1
Wet,3017,0.95,1
Dry,3020,0.85,1
Wet,3020,0.51,1
Dry,3023,1.72,1
Wet,3023,2.4,1
Dry,3026,0.82,1
Wet,3026,1.88,1
Dry,3029,0.95,1
Wet,3029,1.19,1
Dry,3032,0.74,1
Wet,3032,1.22,1
Dry,3035,0.54,1
Wet,3035,0.99,1
Dry,3038,0.62,1
Wet,3038,0.6,1
Dry,3041,0.51,1
Wet,3041,1.42,1
Dry,3044,0.81,1
Wet,3044,0.38,1
Dry,3047,0.93,1
Wet,3047,1.26,1
Dry,3050,0.3,1
Wet,3050,0.66,1
Dry,3053,0.88,1
Wet,3053,0.81,1
Dry,3056,0.55,1
Wet,3056,1.03,1
Dry,3059,,1
Wet,3059,,1
Dry,3062,0.6,1
Wet,3062,2.06,1
Dry,3065,0.98,1
Wet,3065,1.35,1
Dry,3068,0.98,1
Wet,3068,1.65,1
Dry,3071,1,1
Wet,3071,2.07,1
Dry,3074,1.05,1
Wet,3074,2.16,1
Dry,3077,0.78,1
Wet,3077,2.61,1
Dry,3080,1.01,1
Wet,3080,2.76,1
Dry,3083,,1
Wet,3083,,1
Dry,3086,,1
Wet,3086,,1
Dry,3089,,1
Wet,3089,,1
Dry,3092,,1
Wet,3092,,1
Dry,3095,,1
Wet,3095,,1
Dry,3098,,1
Wet,3098,,1
Dry,3101,2.08,1
Wet,3101,3.79,1
Dry,3104,3.67,1
Wet,3104,4.3,1
Dry,3107,1.79,1
Wet,3107,3.37,1
Dry,3110,2.72,1
Wet,3110,3.33,1
Dry,3113,0.9,1
Wet,3113,2.38,1
Dry,3116,0.44,1
Wet,3116,1.21,1
Dry,3119,0.62,1
Wet,3119,1.35,1
Dry,3122,1.1,1
Wet,3122,1.31,1
Dry,3125,1.39,1
Wet,3125,1.94,1
Dry,3128,1.26,1
Wet,3128,1.5,1
Dry,3131,1.69,1
Wet,3131,,1
Dry,3134,1.07,1
Wet,3134,3.18,1
Dry,3137,1.88,1
Wet,3137,1.7,1
Dry,3140,0.7,1
Wet,3140,0.87,1
Dry,3143,0.56,1
Wet,3143,1.17,1
Dry,3146,1.07,1
Wet,3146,2,1
Dry,3149,,1
Wet,3149,,1
Dry,3152,1.98,1
Wet,3152,1.79,1
Dry,3155,,1
Wet,3155,,1
Dry,3158,0.46,1
Wet,3158,,1
Dry,3161,0.79,1
Wet,3161,1.1,1
Dry,3164,,1
Wet,3164,,1
Dry,3167,1.93,1
Wet,3167,,1
Dry,3170,1.4,1
Wet,3170,2.52,1
Dry,3173,2.08,1
Wet,3173,3.38,1
Dry,3176,,1
Wet,3176,4.44,1
Dry,3179,,1
Wet,3179,,1
Dry,3182,1.22,1
Wet,3182,2.02,1
Dry,3185,1.45,1
Wet,3185,2.33,1
Dry,3188,0.95,1
Wet,3188,2.03,1
Dry,3191,1.07,1
Wet,3191,2.06,1
Dry,3194,1.4,1
Wet,3194,1.64,1
Dry,3197,0.75,1
Wet,3197,1.01,1
Dry,3200,1.32,1
Wet,3200,1.91,1
Dry,3203,0.33,1
Wet,3203,2.65,1
Dry,3206,,1
Wet,3206,,1
Dry,3209,0.68,1
Wet,3209,2.08,1
Dry,3212,,1
Wet,3212,,1
Dry,3215,0.91,1
Wet,3215,1.63,1
Dry,3218,1.88,1
Wet,3218,,1
Dry,3221,0.83,1
Wet,3221,1.12,1
Dry,3224,1.57,1
Wet,3224,1.39,1
Dry,3227,0.82,1
Wet,3227,0.63,1
Dry,3230,1.32,1
Wet,3230,1.51,1
Dry,3233,1.33,1
Wet,3233,1.02,1
Dry,3236,1.01,1
Wet,3236,,1
Dry,3239,0.68,1
Wet,3239,1.96,1
Dry,3242,0.76,1
Wet,3242,1.11,1
Dry,3245,1.67,1
Wet,3245,1.42,1
Dry,3248,0.52,1
Wet,3248,1.42,1
Dry,3251,,1
Wet,3251,,1
Dry,3254,1.4,1
Wet,3254,1.91,1
Dry,3257,1.31,1
Wet,3257,0.86,1
Dry,3260,,1
Wet,3260,,1
Dry,3263,0.81,1
Wet,3263,2.24,1
Dry,3266,0.73,1
Wet,3266,1.59,1
Dry,3269,0.92,1
Wet,3269,1.03,1
Dry,3272,1.15,1
Wet,3272,1.6,1
Dry,3275,0.94,1
Wet,3275,0.65,1
Dry,3278,1.55,1
Wet,3278,2.14,1
Dry,3281,1.17,1
Wet,3281,1.03,1
Dry,3284,2.23,1
Wet,3284,2.07,1
Dry,3287,1.35,1
Wet,3287,1.5,1
Dry,3290,0.6,1
Wet,3290,1.61,1
Dry,3293,1.07,1
Wet,3293,2.44,1
Dry,3296,2.01,1
Wet,3296,2.53,1
Dry,3299,0.42,1
Wet,3299,1.05,1
Dry,3302,1.46,1
Wet,3302,1.81,1
Dry,3305,1.12,1
Wet,3305,0.46,1
Dry,3308,1.43,1
Wet,3308,0.71,1
Dry,3311,1.03,1
Wet,3311,1.39,1
Dry,3314,0.93,1
Wet,3314,1.88,1
Dry,3317,1.08,1
Wet,3317,1.94,1
Dry,3320,1.52,1
Wet,3320,1.01,1
Dry,3323,1.29,1
Wet,3323,0.67,1
Dry,3326,1.17,1
Wet,3326,1.79,1
Dry,3329,0.34,1
Wet,3329,1.14,1
Dry,3332,,1
Wet,3332,,1
Dry,3335,0.83,1
Wet,3335,1.21,1
Dry,3338,0.82,1
Wet,3338,0.68,1
Dry,3341,2.42,1
Wet,3341,1.65,1
Dry,3344,0.9,1
Wet,3344,1.27,1
Dry,3347,,1
Wet,3347,,1
Dry,3350,1.67,1
Wet,3350,1.05,1
Dry,3353,1.77,1
Wet,3353,1.69,1
Dry,3356,0.77,1
Wet,3356,1.49,1
Dry,3359,0.68,1
Wet,3359,3.27,1
Dry,3362,1.8,1
Wet,3362,3.78,1
Dry,3365,,1
Wet,3365,,1
Dry,3368,0.61,1
Wet,3368,0.97,1
Dry,3371,1.36,1
Wet,3371,0.94,1
Dry,3374,1.33,1
Wet,3374,2.53,1
Dry,3377,1.04,1
Wet,3377,0.66,1
Dry,3380,1.24,1
Wet,3380,1.46,1
Dry,3383,0.81,1
Wet,3383,1.03,1
Dry,3386,1.33,1
Wet,3386,0.5,1
Dry,3389,,1
Wet,3389,,1
Dry,3392,,1
Wet,3392,0.66,1
Dry,3395,0.58,1
Wet,3395,4.58,1
Dry,3398,,1
Wet,3398,1.12,1
Dry,3401,0.44,1
Wet,3401,0.51,1
Dry,3404,2.5,1
Wet,3404,0.29,1
Dry,3407,0.44,1
Wet,3407,0.74,1
Dry,3410,0.71,1
Wet,3410,0.95,1
Dry,3413,0.43,1
Wet,3413,0.87,1
Dry,3416,0.33,1
Wet,3416,1.64,1
Dry,3419,,1
Wet,3419,,1
Dry,3422,1.52,1
Wet,3422,3.15,1
Dry,3425,1.58,1
Wet,3425,2.85,1
Dry,3428,0.91,1
Wet,3428,1.09,1
Dry,3431,1.49,1
Wet,3431,1.97,1
Dry,3434,0.43,1
Wet,3434,1.79,1
Dry,3437,0.92,1
Wet,3437,1.73,1