S0_ID,S1_ID,S0_trt,S1_trt,ID
1,1000,W,D,2000
1,1000,W,W,2003
1,1001,W,D,2006
1,1001,W,W,2009
1,1002,W,D,2012
1,1002,W,W,2015
1,1003,D,D,2018
1,1003,D,W,2021
1,1004,D,D,2024
1,1004,D,W,2027
1,1005,D,D,2030
1,1005,D,W,2033
3,1006,W,D,2036
3,1006,W,W,2039
3,1007,W,D,2042
3,1007,W,W,2045
3,1008,W,D,2048
3,1008,W,W,2051
3,1009,D,D,2054
3,1009,D,W,2057
3,1010,D,D,2060
3,1010,D,W,2063
3,1011,D,D,2066
3,1011,D,W,2069
4,1012,W,D,2072
4,1012,W,W,2075
4,1013,W,D,2078
4,1013,W,W,2081
4,1014,W,D,2084
4,1014,W,W,2087
4,1015,D,D,2090
4,1015,D,W,2093
4,1016,D,D,2096
4,1016,D,W,2099
4,1017,D,D,2102
4,1017,D,W,2105
6,1018,W,D,2108
6,1018,W,W,2111
6,1019,W,D,2114
6,1019,W,W,2117
6,1020,W,D,2120
6,1020,W,W,2123
6,1021,D,D,2126
6,1021,D,W,2129
6,1022,D,D,2132
6,1022,D,W,2135
6,1023,D,D,2138
6,1023,D,W,2141
7,1024,W,D,2144
7,1024,W,W,2147
7,1025,W,D,2150
7,1025,W,W,2153
7,1026,W,D,2156
7,1026,W,W,2159
7,1027,D,D,2162
7,1027,D,W,2165
7,1028,D,D,2168
7,1028,D,W,2171
7,1029,D,D,2174
7,1029,D,W,2177
28,1030,W,D,2180
28,1030,W,W,2183
28,1031,W,D,2186
28,1031,W,W,2189
28,1032,W,D,2192
28,1032,W,W,2195
28,1033,D,D,2198
28,1033,D,W,2201
28,1034,D,D,2204
28,1034,D,W,2207
28,1035,D,D,2210
28,1035,D,W,2213
29,1036,W,D,2216
29,1036,W,W,2219
29,1037,W,D,2222
29,1037,W,W,2225
29,1038,W,D,2228
29,1038,W,W,2231
29,1039,D,D,2234
29,1039,D,W,2237
29,1040,D,D,2240
29,1040,D,W,2243
29,1041,D,D,2246
29,1041,D,W,2249
32,1042,W,D,2252
32,1042,W,W,2255
32,1043,W,D,2258
32,1043,W,W,2261
32,1044,W,D,2264
32,1044,W,W,2267
32,1045,D,D,2270
32,1045,D,W,2273
32,1046,D,D,2276
32,1046,D,W,2279
32,1047,D,D,2282
32,1047,D,W,2285
35,1048,W,D,2288
35,1048,W,W,2291
35,1049,W,D,2294
35,1049,W,W,2297
35,1050,W,D,2300
35,1050,W,W,2303
35,1051,D,D,2306
35,1051,D,W,2309
35,1052,D,D,2312
35,1052,D,W,2315
35,1053,D,D,2318
35,1053,D,W,2321
37,1054,W,D,2324
37,1054,W,W,2327
37,1055,W,D,2330
37,1055,W,W,2333
37,1056,W,D,2336
37,1056,W,W,2339
37,1057,D,D,2342
37,1057,D,W,2345
37,1058,D,D,2348
37,1058,D,W,2351
37,1059,D,D,2354
37,1059,D,W,2357
38,1060,W,D,2360
38,1060,W,W,2363
38,1061,W,D,2366
38,1061,W,W,2369
38,1062,W,D,2372
38,1062,W,W,2375
38,1063,D,D,2378
38,1063,D,W,2381
38,1064,D,D,2384
38,1064,D,W,2387
38,1065,D,D,2390
38,1065,D,W,2393
39A,1066,W,D,2396
39A,1066,W,W,2399
39A,1067,W,D,2402
39A,1067,W,W,2405
39A,1068,W,D,2408
39A,1068,W,W,2411
39A,1069,D,D,2414
39A,1069,D,W,2417
39A,1070,D,D,2420
39A,1070,D,W,2423
39A,1071,D,D,2426
39A,1071,D,W,2429
39B,1072,W,D,2432
39B,1072,W,W,2435
39B,1073,W,D,2438
39B,1073,W,W,2441
39B,1074,W,D,2444
39B,1074,W,W,2447
39B,1075,D,D,2450
39B,1075,D,W,2453
39B,1076,D,D,2456
39B,1076,D,W,2459
39B,1077,D,D,2462
39B,1077,D,W,2465
40,1078,W,D,2468
40,1078,W,W,2471
40,1079,W,D,2474
40,1079,W,W,2477
40,1080,W,D,2480
40,1080,W,W,2483
40,1081,D,D,2486
40,1081,D,W,2489
40,1082,D,D,2492
40,1082,D,W,2495
40,1083,D,D,2498
40,1083,D,W,2501
41,1084,W,D,2504
41,1084,W,W,2507
41,1085,W,D,2510
41,1085,W,W,2513
41,1086,W,D,2516
41,1086,W,W,2519
41,1087,D,D,2522
41,1087,D,W,2525
41,1088,D,D,2528
41,1088,D,W,2531
41,1089,D,D,2534
41,1089,D,W,2537
49,1090,W,D,2540
49,1090,W,W,2543
49,1091,W,D,2546
49,1091,W,W,2549
49,1092,W,D,2552
49,1092,W,W,2555
49,1093,D,D,2558
49,1093,D,W,2561
49,1094,D,D,2564
49,1094,D,W,2567
49,1095,D,D,2570
49,1095,D,W,2573
51,1096,W,D,2576
51,1096,W,W,2579
51,1097,W,D,2582
51,1097,W,W,2585
51,1098,W,D,2588
51,1098,W,W,2591
51,1099,D,D,2594
51,1099,D,W,2597
51,1100,D,D,2600
51,1100,D,W,2603
51,1101,D,D,2606
51,1101,D,W,2609
52,1102,W,D,2612
52,1102,W,W,2615
52,1103,W,D,2618
52,1103,W,W,2621
52,1104,W,D,2624
52,1104,W,W,2627
52,1105,D,D,2630
52,1105,D,W,2633
52,1106,D,D,2636
52,1106,D,W,2639
52,1107,D,D,2642
52,1107,D,W,2645
54,1108,W,D,2648
54,1108,W,W,2651
54,1109,W,D,2654
54,1109,W,W,2657
54,1110,W,D,2660
54,1110,W,W,2663
54,1111,D,D,2666
54,1111,D,W,2669
54,1112,D,D,2672
54,1112,D,W,2675
54,1113,D,D,2678
54,1113,D,W,2681
57,1114,W,D,2684
57,1114,W,W,2687
57,1115,W,D,2690
57,1115,W,W,2693
57,1116,W,D,2696
57,1116,W,W,2699
57,1117,D,D,2702
57,1117,D,W,2705
57,1118,D,D,2708
57,1118,D,W,2711
57,1119,D,D,2714
57,1119,D,W,2717
148,1120,W,D,2720
148,1120,W,W,2723
148,1121,W,D,2726
148,1121,W,W,2729
148,1122,W,D,2732
148,1122,W,W,2735
148,1123,D,D,2738
148,1123,D,W,2741
148,1124,D,D,2744
148,1124,D,W,2747
148,1125,D,D,2750
148,1125,D,W,2753
152,1126,W,D,2756
152,1126,W,W,2759
152,1127,W,D,2762
152,1127,W,W,2765
152,1128,W,D,2768
152,1128,W,W,2771
152,1129,D,D,2774
152,1129,D,W,2777
152,1130,D,D,2780
152,1130,D,W,2783
152,1131,D,D,2786
152,1131,D,W,2789
153,1132,W,D,2792
153,1132,W,W,2795
153,1133,W,D,2798
153,1133,W,W,2801
153,1134,W,D,2804
153,1134,W,W,2807
153,1135,D,D,2810
153,1135,D,W,2813
153,1136,D,D,2816
153,1136,D,W,2819
153,1137,D,D,2822
153,1137,D,W,2825
154,1138,W,D,2828
154,1138,W,W,2831
154,1139,W,D,2834
154,1139,W,W,2837
154,1140,W,D,2840
154,1140,W,W,2843
154,1141,D,D,2846
154,1141,D,W,2849
154,1142,D,D,2852
154,1142,D,W,2855
154,1143,D,D,2858
154,1143,D,W,2861
155,1144,W,D,2864
155,1144,W,W,2867
155,1145,W,D,2870
155,1145,W,W,2873
155,1146,W,D,2876
155,1146,W,W,2879
155,1147,D,D,2882
155,1147,D,W,2885
155,1148,D,D,2888
155,1148,D,W,2891
155,1149,D,D,2894
155,1149,D,W,2897
164,1150,W,D,2900
164,1150,W,W,2903
164,1151,W,D,2906
164,1151,W,W,2909
164,1152,W,D,2912
164,1152,W,W,2915
164,1153,D,D,2918
164,1153,D,W,2921
164,1154,D,D,2924
164,1154,D,W,2927
164,1155,D,D,2930
164,1155,D,W,2933
166,1156,W,D,2936
166,1156,W,W,2939
166,1157,W,D,2942
166,1157,W,W,2945
166,1158,W,D,2948
166,1158,W,W,2951
166,1159,D,D,2954
166,1159,D,W,2957
166,1160,D,D,2960
166,1160,D,W,2963
166,1161,D,D,2966
166,1161,D,W,2969
167,1162,W,D,2972
167,1162,W,W,2975
167,1163,W,D,2978
167,1163,W,W,2981
167,1164,W,D,2984
167,1164,W,W,2987
167,1165,D,D,2990
167,1165,D,W,2993
167,1166,D,D,2996
167,1166,D,W,2999
167,1167,D,D,3002
167,1167,D,W,3005
170,1168,W,D,3008
170,1168,W,W,3011
170,1169,W,D,3014
170,1169,W,W,3017
170,1170,W,D,3020
170,1170,W,W,3023
170,1171,D,D,3026
170,1171,D,W,3029
170,1172,D,D,3032
170,1172,D,W,3035
170,1173,D,D,3038
170,1173,D,W,3041
172,1174,W,D,3044
172,1174,W,W,3047
172,1175,W,D,3050
172,1175,W,W,3053
172,1176,W,D,3056
172,1176,W,W,3059
172,1177,D,D,3062
172,1177,D,W,3065
172,1178,D,D,3068
172,1178,D,W,3071
172,1179,D,D,3074
172,1179,D,W,3077
342,1180,W,D,3080
342,1180,W,W,3083
342,1181,W,D,3086
342,1181,W,W,3089
342,1182,W,D,3092
342,1182,W,W,3095
342,1183,D,D,3098
342,1183,D,W,3101
342,1184,D,D,3104
342,1184,D,W,3107
342,1185,D,D,3110
342,1185,D,W,3113
343,1186,W,D,3116
343,1186,W,W,3119
343,1187,W,D,3122
343,1187,W,W,3125
343,1188,W,D,3128
343,1188,W,W,3131
343,1189,D,D,3134
343,1189,D,W,3137
343,1190,D,D,3140
343,1190,D,W,3143
343,1191,D,D,3146
343,1191,D,W,3149
344,1192,W,D,3152
344,1192,W,W,3155
344,1193,W,D,3158
344,1193,W,W,3161
344,1194,W,D,3164
344,1194,W,W,3167
344,1195,D,D,3170
344,1195,D,W,3173
344,1196,D,D,3176
344,1196,D,W,3179
344,1197,D,D,3182
344,1197,D,W,3185
345,1198,W,D,3188
345,1198,W,W,3191
345,1199,W,D,3194
345,1199,W,W,3197
345,1200,W,D,3200
345,1200,W,W,3203
345,1201,D,D,3206
345,1201,D,W,3209
345,1202,D,D,3212
345,1202,D,W,3215
345,1203,D,D,3218
345,1203,D,W,3221
349,1204,W,D,3224
349,1204,W,W,3227
349,1205,W,D,3230
349,1205,W,W,3233
349,1206,W,D,3236
349,1206,W,W,3239
349,1207,D,D,3242
349,1207,D,W,3245
349,1208,D,D,3248
349,1208,D,W,3251
349,1209,D,D,3254
349,1209,D,W,3257
371,1210,W,D,3260
371,1210,W,W,3263
371,1211,W,D,3266
371,1211,W,W,3269
371,1212,W,D,3272
371,1212,W,W,3275
371,1213,D,D,3278
371,1213,D,W,3281
371,1214,D,D,3284
371,1214,D,W,3287
371,1215,D,D,3290
371,1215,D,W,3293
372,1216,W,D,3296
372,1216,W,W,3299
372,1217,W,D,3302
372,1217,W,W,3305
372,1218,W,D,3308
372,1218,W,W,3311
372,1219,D,D,3314
372,1219,D,W,3317
372,1220,D,D,3320
372,1220,D,W,3323
372,1221,D,D,3326
372,1221,D,W,3329
373,1222,W,D,3332
373,1222,W,W,3335
373,1223,W,D,3338
373,1223,W,W,3341
373,1224,W,D,3344
373,1224,W,W,3347
373,1225,D,D,3350
373,1225,D,W,3353
373,1226,D,D,3356
373,1226,D,W,3359
373,1227,D,D,3362
373,1227,D,W,3365
374,1228,W,D,3368
374,1228,W,W,3371
374,1229,W,D,3374
374,1229,W,W,3377
374,1230,W,D,3380
374,1230,W,W,3383
374,1231,D,D,3386
374,1231,D,W,3389
374,1232,D,D,3392
374,1232,D,W,3395
374,1233,D,D,3398
374,1233,D,W,3401
375,1234,W,D,3404
375,1234,W,W,3407
375,1235,W,D,3410
375,1235,W,W,3413
375,1236,W,D,3416
375,1236,W,W,3419
375,1237,D,D,3422
375,1237,D,W,3425
375,1238,D,D,3428
375,1238,D,W,3431
375,1239,D,D,3434
375,1239,D,W,3437
1,1000,W,D,2001
1,1000,W,W,2004
1,1001,W,D,2007
1,1001,W,W,2010
1,1002,W,D,2013
1,1002,W,W,2016
1,1003,D,D,2019
1,1003,D,W,2022
1,1004,D,D,2025
1,1004,D,W,2028
1,1005,D,D,2031
1,1005,D,W,2034
3,1006,W,D,2037
3,1006,W,W,2040
3,1007,W,D,2043
3,1007,W,W,2046
3,1008,W,D,2049
3,1008,W,W,2052
3,1009,D,D,2055
3,1009,D,W,2058
3,1010,D,D,2061
3,1010,D,W,2064
3,1011,D,D,2067
3,1011,D,W,2070
4,1012,W,D,2073
4,1012,W,W,2076
4,1013,W,D,2079
4,1013,W,W,2082
4,1014,W,D,2085
4,1014,W,W,2088
4,1015,D,D,2091
4,1015,D,W,2094
4,1016,D,D,2097
4,1016,D,W,2100
4,1017,D,D,2103
4,1017,D,W,2106
6,1018,W,D,2109
6,1018,W,W,2112
6,1019,W,D,2115
6,1019,W,W,2118
6,1020,W,D,2121
6,1020,W,W,2124
6,1021,D,D,2127
6,1021,D,W,2130
6,1022,D,D,2133
6,1022,D,W,2136
6,1023,D,D,2139
6,1023,D,W,2142
7,1024,W,D,2145
7,1024,W,W,2148
7,1025,W,D,2151
7,1025,W,W,2154
7,1026,W,D,2157
7,1026,W,W,2160
7,1027,D,D,2163
7,1027,D,W,2166
7,1028,D,D,2169
7,1028,D,W,2172
7,1029,D,D,2175
7,1029,D,W,2178
28,1030,W,D,2181
28,1030,W,W,2184
28,1031,W,D,2187
28,1031,W,W,2190
28,1032,W,D,2193
28,1032,W,W,2196
28,1033,D,D,2199
28,1033,D,W,2202
28,1034,D,D,2205
28,1034,D,W,2208
28,1035,D,D,2211
28,1035,D,W,2214
29,1036,W,D,2217
29,1036,W,W,2220
29,1037,W,D,2223
29,1037,W,W,2226
29,1038,W,D,2229
29,1038,W,W,2232
29,1039,D,D,2235
29,1039,D,W,2238
29,1040,D,D,2241
29,1040,D,W,2244
29,1041,D,D,2247
29,1041,D,W,2250
32,1042,W,D,2253
32,1042,W,W,2256
32,1043,W,D,2259
32,1043,W,W,2262
32,1044,W,D,2265
32,1044,W,W,2268
32,1045,D,D,2271
32,1045,D,W,2274
32,1046,D,D,2277
32,1046,D,W,2280
32,1047,D,D,2283
32,1047,D,W,2286
35,1048,W,D,2289
35,1048,W,W,2292
35,1049,W,D,2295
35,1049,W,W,2298
35,1050,W,D,2301
35,1050,W,W,2304
35,1051,D,D,2307
35,1051,D,W,2310
35,1052,D,D,2313
35,1052,D,W,2316
35,1053,D,D,2319
35,1053,D,W,2322
37,1054,W,D,2325
37,1054,W,W,2328
37,1055,W,D,2331
37,1055,W,W,2334
37,1056,W,D,2337
37,1056,W,W,2340
37,1057,D,D,2343
37,1057,D,W,2346
37,1058,D,D,2349
37,1058,D,W,2352
37,1059,D,D,2355
37,1059,D,W,2358
38,1060,W,D,2361
38,1060,W,W,2364
38,1061,W,D,2367
38,1061,W,W,2370
38,1062,W,D,2373
38,1062,W,W,2376
38,1063,D,D,2379
38,1063,D,W,2382
38,1064,D,D,2385
38,1064,D,W,2388
38,1065,D,D,2391
38,1065,D,W,2394
39A,1066,W,D,2397
39A,1066,W,W,2400
39A,1067,W,D,2403
39A,1067,W,W,2406
39A,1068,W,D,2409
39A,1068,W,W,2412
39A,1069,D,D,2415
39A,1069,D,W,2418
39A,1070,D,D,2421
39A,1070,D,W,2424
39A,1071,D,D,2427
39A,1071,D,W,2430
39B,1072,W,D,2433
39B,1072,W,W,2436
39B,1073,W,D,2439
39B,1073,W,W,2442
39B,1074,W,D,2445
39B,1074,W,W,2448
39B,1075,D,D,2451
39B,1075,D,W,2454
39B,1076,D,D,2457
39B,1076,D,W,2460
39B,1077,D,D,2463
39B,1077,D,W,2466
40,1078,W,D,2469
40,1078,W,W,2472
40,1079,W,D,2475
40,1079,W,W,2478
40,1080,W,D,2481
40,1080,W,W,2484
40,1081,D,D,2487
40,1081,D,W,2490
40,1082,D,D,2493
40,1082,D,W,2496
40,1083,D,D,2499
40,1083,D,W,2502
41,1084,W,D,2505
41,1084,W,W,2508
41,1085,W,D,2511
41,1085,W,W,2514
41,1086,W,D,2517
41,1086,W,W,2520
41,1087,D,D,2523
41,1087,D,W,2526
41,1088,D,D,2529
41,1088,D,W,2532
41,1089,D,D,2535
41,1089,D,W,2538
49,1090,W,D,2541
49,1090,W,W,2544
49,1091,W,D,2547
49,1091,W,W,2550
49,1092,W,D,2553
49,1092,W,W,2556
49,1093,D,D,2559
49,1093,D,W,2562
49,1094,D,D,2565
49,1094,D,W,2568
49,1095,D,D,2571
49,1095,D,W,2574
51,1096,W,D,2577
51,1096,W,W,2580
51,1097,W,D,2583
51,1097,W,W,2586
51,1098,W,D,2589
51,1098,W,W,2592
51,1099,D,D,2595
51,1099,D,W,2598
51,1100,D,D,2601
51,1100,D,W,2604
51,1101,D,D,2607
51,1101,D,W,2610
52,1102,W,D,2613
52,1102,W,W,2616
52,1103,W,D,2619
52,1103,W,W,2622
52,1104,W,D,2625
52,1104,W,W,2628
52,1105,D,D,2631
52,1105,D,W,2634
52,1106,D,D,2637
52,1106,D,W,2640
52,1107,D,D,2643
52,1107,D,W,2646
54,1108,W,D,2649
54,1108,W,W,2652
54,1109,W,D,2655
54,1109,W,W,2658
54,1110,W,D,2661
54,1110,W,W,2664
54,1111,D,D,2667
54,1111,D,W,2670
54,1112,D,D,2673
54,1112,D,W,2676
54,1113,D,D,2679
54,1113,D,W,2682
57,1114,W,D,2685
57,1114,W,W,2688
57,1115,W,D,2691
57,1115,W,W,2694
57,1116,W,D,2697
57,1116,W,W,2700
57,1117,D,D,2703
57,1117,D,W,2706
57,1118,D,D,2709
57,1118,D,W,2712
57,1119,D,D,2715
57,1119,D,W,2718
148,1120,W,D,2721
148,1120,W,W,2724
148,1121,W,D,2727
148,1121,W,W,2730
148,1122,W,D,2733
148,1122,W,W,2736
148,1123,D,D,2739
148,1123,D,W,2742
148,1124,D,D,2745
148,1124,D,W,2748
148,1125,D,D,2751
148,1125,D,W,2754
152,1126,W,D,2757
152,1126,W,W,2760
152,1127,W,D,2763
152,1127,W,W,2766
152,1128,W,D,2769
152,1128,W,W,2772
152,1129,D,D,2775
152,1129,D,W,2778
152,1130,D,D,2781
152,1130,D,W,2784
152,1131,D,D,2787
152,1131,D,W,2790
153,1132,W,D,2793
153,1132,W,W,2796
153,1133,W,D,2799
153,1133,W,W,2802
153,1134,W,D,2805
153,1134,W,W,2808
153,1135,D,D,2811
153,1135,D,W,2814
153,1136,D,D,2817
153,1136,D,W,2820
153,1137,D,D,2823
153,1137,D,W,2826
154,1138,W,D,2829
154,1138,W,W,2832
154,1139,W,D,2835
154,1139,W,W,2838
154,1140,W,D,2841
154,1140,W,W,2844
154,1141,D,D,2847
154,1141,D,W,2850
154,1142,D,D,2853
154,1142,D,W,2856
154,1143,D,D,2859
154,1143,D,W,2862
155,1144,W,D,2865
155,1144,W,W,2868
155,1145,W,D,2871
155,1145,W,W,2874
155,1146,W,D,2877
155,1146,W,W,2880
155,1147,D,D,2883
155,1147,D,W,2886
155,1148,D,D,2889
155,1148,D,W,2892
155,1149,D,D,2895
155,1149,D,W,2898
164,1150,W,D,2901
164,1150,W,W,2904
164,1151,W,D,2907
164,1151,W,W,2910
164,1152,W,D,2913
164,1152,W,W,2916
164,1153,D,D,2919
164,1153,D,W,2922
164,1154,D,D,2925
164,1154,D,W,2928
164,1155,D,D,2931
164,1155,D,W,2934
166,1156,W,D,2937
166,1156,W,W,2940
166,1157,W,D,2943
166,1157,W,W,2946
166,1158,W,D,2949
166,1158,W,W,2952
166,1159,D,D,2955
166,1159,D,W,2958
166,1160,D,D,2961
166,1160,D,W,2964
166,1161,D,D,2967
166,1161,D,W,2970
167,1162,W,D,2973
167,1162,W,W,2976
167,1163,W,D,2979
167,1163,W,W,2982
167,1164,W,D,2985
167,1164,W,W,2988
167,1165,D,D,2991
167,1165,D,W,2994
167,1166,D,D,2997
167,1166,D,W,3000
167,1167,D,D,3003
167,1167,D,W,3006
170,1168,W,D,3009
170,1168,W,W,3012
170,1169,W,D,3015
170,1169,W,W,3018
170,1170,W,D,3021
170,1170,W,W,3024
170,1171,D,D,3027
170,1171,D,W,3030
170,1172,D,D,3033
170,1172,D,W,3036
170,1173,D,D,3039
170,1173,D,W,3042
172,1174,W,D,3045
172,1174,W,W,3048
172,1175,W,D,3051
172,1175,W,W,3054
172,1176,W,D,3057
172,1176,W,W,3060
172,1177,D,D,3063
172,1177,D,W,3066
172,1178,D,D,3069
172,1178,D,W,3072
172,1179,D,D,3075
172,1179,D,W,3078
342,1180,W,D,3081
342,1180,W,W,3084
342,1181,W,D,3087
342,1181,W,W,3090
342,1182,W,D,3093
342,1182,W,W,3096
342,1183,D,D,3099
342,1183,D,W,3102
342,1184,D,D,3105
342,1184,D,W,3108
342,1185,D,D,3111
342,1185,D,W,3114
343,1186,W,D,3117
343,1186,W,W,3120
343,1187,W,D,3123
343,1187,W,W,3126
343,1188,W,D,3129
343,1188,W,W,3132
343,1189,D,D,3135
343,1189,D,W,3138
343,1190,D,D,3141
343,1190,D,W,3144
343,1191,D,D,3147
343,1191,D,W,3150
344,1192,W,D,3153
344,1192,W,W,3156
344,1193,W,D,3159
344,1193,W,W,3162
344,1194,W,D,3165
344,1194,W,W,3168
344,1195,D,D,3171
344,1195,D,W,3174
344,1196,D,D,3177
344,1196,D,W,3180
344,1197,D,D,3183
344,1197,D,W,3186
345,1198,W,D,3189
345,1198,W,W,3192
345,1199,W,D,3195
345,1199,W,W,3198
345,1200,W,D,3201
345,1200,W,W,3204
345,1201,D,D,3207
345,1201,D,W,3210
345,1202,D,D,3213
345,1202,D,W,3216
345,1203,D,D,3219
345,1203,D,W,3222
349,1204,W,D,3225
349,1204,W,W,3228
349,1205,W,D,3231
349,1205,W,W,3234
349,1206,W,D,3237
349,1206,W,W,3240
349,1207,D,D,3243
349,1207,D,W,3246
349,1208,D,D,3249
349,1208,D,W,3252
349,1209,D,D,3255
349,1209,D,W,3258
371,1210,W,D,3261
371,1210,W,W,3264
371,1211,W,D,3267
371,1211,W,W,3270
371,1212,W,D,3273
371,1212,W,W,3276
371,1213,D,D,3279
371,1213,D,W,3282
371,1214,D,D,3285
371,1214,D,W,3288
371,1215,D,D,3291
371,1215,D,W,3294
372,1216,W,D,3297
372,1216,W,W,3300
372,1217,W,D,3303
372,1217,W,W,3306
372,1218,W,D,3309
372,1218,W,W,3312
372,1219,D,D,3315
372,1219,D,W,3318
372,1220,D,D,3321
372,1220,D,W,3324
372,1221,D,D,3327
372,1221,D,W,3330
373,1222,W,D,3333
373,1222,W,W,3336
373,1223,W,D,3339
373,1223,W,W,3342
373,1224,W,D,3345
373,1224,W,W,3348
373,1225,D,D,3351
373,1225,D,W,3354
373,1226,D,D,3357
373,1226,D,W,3360
373,1227,D,D,3363
373,1227,D,W,3366
374,1228,W,D,3369
374,1228,W,W,3372
374,1229,W,D,3375
374,1229,W,W,3378
374,1230,W,D,3381
374,1230,W,W,3384
374,1231,D,D,3387
374,1231,D,W,3390
374,1232,D,D,3393
374,1232,D,W,3396
374,1233,D,D,3399
374,1233,D,W,3402
375,1234,W,D,3405
375,1234,W,W,3408
375,1235,W,D,3411
375,1235,W,W,3414
375,1236,W,D,3417
375,1236,W,W,3420
375,1237,D,D,3423
375,1237,D,W,3426
375,1238,D,D,3429
375,1238,D,W,3432
375,1239,D,D,3435
375,1239,D,W,3438